dataset_group,fold,evaluation,dataset,classifier,Macro_F1,Accuracy,Precision_macro,Recall_macro,ROC_AUC,inner_fold
covid,1,synthetic_only_internal_cv,Fixed_Realism_only_sep0.0_anchor0.0,XGBoost,0.5190562613430127,0.7169811320754716,0.549645390070922,0.5269230769230769,0.49423076923076925,4.0
covid,1,synthetic_only_internal_cv,Fixed_Realism_only_sep0.0_anchor0.0,CatBoost,0.5583333333333333,0.7735849056603774,0.7233333333333334,0.5644230769230769,0.6615384615384615,5.0
covid,1,synthetic_only_internal_cv,Fixed_Realism_only_sep0.0_anchor0.0,XGBoost,0.4175824175824176,0.7169811320754716,0.37254901960784315,0.475,0.7173076923076922,5.0
covid,1,train_synthetic_test_real_cv,Fixed_Sep_low_sep0.25_anchor0.0,CatBoost,0.40707964601769914,0.6865671641791045,0.3709677419354839,0.45098039215686275,0.5159313725490196,
covid,1,train_synthetic_test_real_cv,Fixed_Sep_low_sep0.25_anchor0.0,XGBoost,0.41228070175438597,0.7014925373134329,0.373015873015873,0.46078431372549017,0.5,
covid,1,synthetic_only_internal_cv,Fixed_Sep_low_sep0.25_anchor0.0,CatBoost,0.5433403805496828,0.7037037037037037,0.5679347826086957,0.5446428571428571,0.6285714285714286,1.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_low_sep0.25_anchor0.0,XGBoost,0.5704545454545454,0.7407407407407407,0.6354166666666667,0.5696428571428571,0.6821428571428572,1.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_low_sep0.25_anchor0.0,CatBoost,0.4477272727272727,0.6666666666666666,0.44791666666666663,0.4732142857142857,0.5642857142857143,2.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_low_sep0.25_anchor0.0,XGBoost,0.5856777493606138,0.7222222222222222,0.6111111111111112,0.5803571428571428,0.6375,2.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_low_sep0.25_anchor0.0,CatBoost,0.4952380952380952,0.7547169811320755,0.6323529411764706,0.5259615384615385,0.673076923076923,3.0
covid,1,synthetic_only_internal_cv,Fixed_Sep_low_sep0.25_anchor0.0,XGBoost,0.5446133509583608,0.7547169811320755,0.6377551020408163,0.551923076923077,0.6192307692307691,3.0
